Symbol,Name,Market
MMM,3M,US
AOS,A. O. Smith,US
ABT,Abbott Laboratories,US
ABBV,AbbVie,US
ACN,Accenture,US
ADBE,Adobe Inc.,US
AMD,Advanced Micro Devices,US
AES,AES Corporation,US
AFL,Aflac,US
A,Agilent Technologies,US
APD,Air Products,US
ABNB,Airbnb,US
AKAM,Akamai Technologies,US
ALB,Albemarle Corporation,US
ARE,Alexandria Real Estate Equities,US
ALGN,Align Technology,US
ALLE,Allegion,US
LNT,Alliant Energy,US
ALL,Allstate,US
GOOGL,Alphabet Inc. (Class A),US
GOOG,Alphabet Inc. (Class C),US
MO,Altria,US
AMZN,Amazon,US
AMCR,Amcor,US
AEE,Ameren,US
AEP,American Electric Power,US
AXP,American Express,US
AIG,American International Group,US
AMT,American Tower,US
AWK,American Water Works,US
AMP,Ameriprise Financial,US
AME,Ametek,US
AMGN,Amgen,US
APH,Amphenol,US
ADI,Analog Devices,US
ANSS,Ansys,US
AON,Aon plc,US
APA,APA Corporation,US
APO,Apollo Global Management,US
AAPL,Apple Inc.,US
AMAT,Applied Materials,US
APTV,Aptiv,US
ACGL,Arch Capital Group,US
ADM,Archer Daniels Midland,US
ANET,Arista Networks,US
AJG,Arthur J. Gallagher & Co.,US
AIZ,Assurant,US
T,AT&T,US
ATO,Atmos Energy,US
ADSK,Autodesk,US
ADP,Automatic Data Processing,US
AZO,AutoZone,US
AVB,AvalonBay Communities,US
AVY,Avery Dennison,US
AXON,Axon Enterprise,US
BKR,Baker Hughes,US
BALL,Ball Corporation,US
BAC,Bank of America,US
BAX,Baxter International,US
BDX,Becton Dickinson,US
BRK.B,Berkshire Hathaway,US
BBY,Best Buy,US
TECH,Bio-Techne,US
BIIB,Biogen,US
BLK,BlackRock,US
BX,Blackstone Inc.,US
BK,BNY Mellon,US
BA,Boeing,US
BKNG,Booking Holdings,US
BSX,Boston Scientific,US
BMY,Bristol Myers Squibb,US
AVGO,Broadcom,US
ARCC,Ares Capital Corporation,US
SLV,iShares Silver Trust,US
ARM,Arm Holdings,US
BR,Broadridge Financial Solutions,US
BRO,Brown & Brown,US
BF.B,Brown–Forman,US
BLDR,Builders FirstSource,US
BG,Bunge Global,US
BXP,"BXP, Inc.",US
CHRW,C.H. Robinson,US
CDNS,Cadence Design Systems,US
CZR,Caesars Entertainment,US
CPT,Camden Property Trust,US
CPB,Campbell's Company (The),US
COF,Capital One,US
CAH,Cardinal Health,US
KMX,CarMax,US
CCL,Carnival,US
CARR,Carrier Global,US
CAT,Caterpillar Inc.,US
CBOE,Cboe Global Markets,US
CBRE,CBRE Group,US
CDW,CDW Corporation,US
COR,Cencora,US
CNC,Centene Corporation,US
CNP,CenterPoint Energy,US
CF,CF Industries,US
CRL,Charles River Laboratories,US
SCHW,Charles Schwab Corporation,US
CHTR,Charter Communications,US
CVX,Chevron Corporation,US
CMG,Chipotle Mexican Grill,US
CB,Chubb Limited,US
CHD,Church & Dwight,US
CI,Cigna,US
CINF,Cincinnati Financial,US
CTAS,Cintas,US
CSCO,Cisco,US
C,Citigroup,US
CFG,Citizens Financial Group,US
CLX,Clorox,US
CME,CME Group,US
CMS,CMS Energy,US
KO,Coca-Cola Company (The),US
CTSH,Cognizant,US
COIN,Coinbase,US
CL,Colgate-Palmolive,US
CMCSA,Comcast,US
CAG,Conagra Brands,US
COP,ConocoPhillips,US
ED,Consolidated Edison,US
STZ,Constellation Brands,US
CEG,Constellation Energy,US
COO,Cooper Companies (The),US
CPRT,Copart,US
GLW,Corning Inc.,US
CPAY,Corpay,US
CTVA,Corteva,US
CSGP,CoStar Group,US
COST,Costco,US
CTRA,Coterra,US
CRWD,CrowdStrike,US
CCI,Crown Castle,US
CSX,CSX Corporation,US
CMI,Cummins,US
CVS,CVS Health,US
DHR,Danaher Corporation,US
DRI,Darden Restaurants,US
DVA,DaVita,US
DAY,Dayforce,US
DECK,Deckers Brands,US
DE,Deere & Company,US
DELL,Dell Technologies,US
DAL,Delta Air Lines,US
DVN,Devon Energy,US
DXCM,Dexcom,US
FANG,Diamondback Energy,US
DLR,Digital Realty,US
DG,Dollar General,US
DLTR,Dollar Tree,US
D,Dominion Energy,US
DPZ,Domino's,US
DASH,DoorDash,US
DOV,Dover Corporation,US
DOW,Dow Inc.,US
DHI,D. R. Horton,US
DTE,DTE Energy,US
DUK,Duke Energy,US
DD,DuPont,US
EMN,Eastman Chemical Company,US
ETN,Eaton Corporation,US
EBAY,eBay Inc.,US
ECL,Ecolab,US
EIX,Edison International,US
EW,Edwards Lifesciences,US
EA,Electronic Arts,US
ELV,Elevance Health,US
EMR,Emerson Electric,US
ENPH,Enphase Energy,US
ETR,Entergy,US
EOG,EOG Resources,US
EPAM,EPAM Systems,US
EQT,EQT Corporation,US
EFX,Equifax,US
EQIX,Equinix,US
EQR,Equity Residential,US
ERIE,Erie Indemnity,US
ESS,Essex Property Trust,US
EL,Estée Lauder Companies (The),US
EG,Everest Group,US
EVRG,Evergy,US
ES,Eversource Energy,US
EXC,Exelon,US
EXE,Expand Energy,US
EXPE,Expedia Group,US
EXPD,Expeditors International,US
EXR,Extra Space Storage,US
XOM,ExxonMobil,US
FFIV,"F5, Inc.",US
FDS,FactSet,US
FICO,Fair Isaac,US
FAST,Fastenal,US
FRT,Federal Realty Investment Trust,US
FDX,FedEx,US
FIS,Fidelity National Information Services,US
FITB,Fifth Third Bancorp,US
FSLR,First Solar,US
FE,FirstEnergy,US
FI,Fiserv,US
F,Ford Motor Company,US
FTNT,Fortinet,US
FTV,Fortive,US
FOXA,Fox Corporation (Class A),US
FOX,Fox Corporation (Class B),US
BEN,Franklin Resources,US
FCX,Freeport-McMoRan,US
GRMN,Garmin,US
IT,Gartner,US
GE,GE Aerospace,US
GEHC,GE HealthCare,US
GEV,GE Vernova,US
GEN,Gen Digital,US
GNRC,Generac,US
GD,General Dynamics,US
GIS,General Mills,US
GM,General Motors,US
GPC,Genuine Parts Company,US
GILD,Gilead Sciences,US
GPN,Global Payments,US
GL,Globe Life,US
GDDY,GoDaddy,US
GS,Goldman Sachs,US
HAL,Halliburton,US
HIG,Hartford (The),US
HAS,Hasbro,US
HCA,HCA Healthcare,US
DOC,Healthpeak Properties,US
HSIC,Henry Schein,US
HSY,Hershey Company (The),US
HES,Hess Corporation,US
HPE,Hewlett Packard Enterprise,US
HLT,Hilton Worldwide,US
HOLX,Hologic,US
HD,Home Depot (The),US
HON,Honeywell,US
HRL,Hormel Foods,US
HST,Host Hotels & Resorts,US
HWM,Howmet Aerospace,US
HPQ,HP Inc.,US
HUBB,Hubbell Incorporated,US
HUM,Humana,US
HBAN,Huntington Bancshares,US
HII,Huntington Ingalls Industries,US
IBM,IBM,US
IEX,IDEX Corporation,US
IDXX,Idexx Laboratories,US
ITW,Illinois Tool Works,US
INCY,Incyte,US
IR,Ingersoll Rand,US
PODD,Insulet Corporation,US
INTC,Intel,US
ICE,Intercontinental Exchange,US
IFF,International Flavors & Fragrances,US
IP,International Paper,US
IPG,Interpublic Group of Companies (The),US
INTU,Intuit,US
ISRG,Intuitive Surgical,US
IVZ,Invesco,US
INVH,Invitation Homes,US
IQV,IQVIA,US
IRM,Iron Mountain,US
JBHT,J.B. Hunt,US
JBL,Jabil,US
JKHY,Jack Henry & Associates,US
J,Jacobs Solutions,US
JNJ,Johnson & Johnson,US
JCI,Johnson Controls,US
JPM,JPMorgan Chase,US
JNPR,Juniper Networks,US
K,Kellanova,US
KVUE,Kenvue,US
KDP,Keurig Dr Pepper,US
KEY,KeyCorp,US
KEYS,Keysight Technologies,US
KMB,Kimberly-Clark,US
KIM,Kimco Realty,US
KMI,Kinder Morgan,US
KKR,KKR & Co.,US
KLAC,KLA Corporation,US
KHC,Kraft Heinz,US
KR,Kroger,US
LHX,L3Harris,US
LH,Labcorp,US
LRCX,Lam Research,US
LW,Lamb Weston,US
LVS,Las Vegas Sands,US
LDOS,Leidos,US
LEN,Lennar,US
LII,Lennox International,US
LLY,Lilly (Eli),US
LIN,Linde plc,US
LYV,Live Nation Entertainment,US
LKQ,LKQ Corporation,US
LMT,Lockheed Martin,US
L,Loews Corporation,US
LOW,Lowe's,US
LULU,Lululemon Athletica,US
LYB,LyondellBasell,US
MTB,M&T Bank,US
MPC,Marathon Petroleum,US
MKTX,MarketAxess,US
MAR,Marriott International,US
MMC,Marsh McLennan,US
MLM,Martin Marietta Materials,US
MAS,Masco,US
MA,Mastercard,US
MTCH,Match Group,US
MKC,McCormick & Company,US
MCD,McDonald's,US
MCK,McKesson Corporation,US
MDT,Medtronic,US
MRK,Merck & Co.,US
META,Meta Platforms,US
MET,MetLife,US
MTD,Mettler Toledo,US
MGM,MGM Resorts,US
MCHP,Microchip Technology,US
MU,Micron Technology,US
MSFT,Microsoft,US
MAA,Mid-America Apartment Communities,US
MRNA,Moderna,US
MHK,Mohawk Industries,US
MOH,Molina Healthcare,US
TAP,Molson Coors Beverage Company,US
MDLZ,Mondelez International,US
MPWR,Monolithic Power Systems,US
MNST,Monster Beverage,US
MCO,Moody's Corporation,US
MS,Morgan Stanley,US
MOS,Mosaic Company (The),US
MSI,Motorola Solutions,US
MSCI,MSCI Inc.,US
NDAQ,"Nasdaq, Inc.",US
NTAP,NetApp,US
NFLX,Netflix,US
NEM,Newmont,US
NWSA,News Corp (Class A),US
NWS,News Corp (Class B),US
NEE,NextEra Energy,US
NKE,"Nike, Inc.",US
NI,NiSource,US
NDSN,Nordson Corporation,US
NSC,Norfolk Southern,US
NTRS,Northern Trust,US
NOC,Northrop Grumman,US
NCLH,Norwegian Cruise Line Holdings,US
NRG,NRG Energy,US
NUE,Nucor,US
NVDA,Nvidia,US
NVR,"NVR, Inc.",US
NXPI,NXP Semiconductors,US
ORLY,O’Reilly Automotive,US
OXY,Occidental Petroleum,US
ODFL,Old Dominion,US
OMC,Omnicom Group,US
ON,ON Semiconductor,US
OKE,Oneok,US
ORCL,Oracle Corporation,US
OTIS,Otis Worldwide,US
PCAR,Paccar,US
PKG,Packaging Corporation of America,US
PLTR,Palantir Technologies,US
PANW,Palo Alto Networks,US
PARA,Paramount Global,US
PH,Parker Hannifin,US
PAYX,Paychex,US
PAYC,Paycom,US
PYPL,PayPal,US
PNR,Pentair,US
PEP,PepsiCo,US
PFE,Pfizer,US
PCG,PG&E Corporation,US
PM,Philip Morris International,US
PSX,Phillips 66,US
PNW,Pinnacle West Capital,US
PNC,PNC Financial Services,US
POOL,Pool Corporation,US
PPG,PPG Industries,US
PPL,PPL Corporation,US
PFG,Principal Financial Group,US
PG,Procter & Gamble,US
PGR,Progressive Corporation,US
PLD,Prologis,US
PRU,Prudential Financial,US
PEG,Public Service Enterprise Group,US
PTC,PTC Inc.,US
PSA,Public Storage,US
PHM,PulteGroup,US
PWR,Quanta Services,US
QCOM,Qualcomm,US
DGX,Quest Diagnostics,US
RL,Ralph Lauren Corporation,US
RJF,Raymond James Financial,US
RTX,RTX Corporation,US
O,Realty Income,US
REG,Regency Centers,US
REGN,Regeneron Pharmaceuticals,US
RF,Regions Financial Corporation,US
RSG,Republic Services,US
RMD,ResMed,US
RVTY,Revvity,US
ROK,Rockwell Automation,US
ROL,"Rollins, Inc.",US
ROP,Roper Technologies,US
ROST,Ross Stores,US
RCL,Royal Caribbean Group,US
SPGI,S&P Global,US
CRM,Salesforce,US
SBAC,SBA Communications,US
SLB,Schlumberger,US
STX,Seagate Technology,US
SRE,Sempra,US
NOW,ServiceNow,US
SHW,Sherwin-Williams,US
SPG,Simon Property Group,US
SWKS,Skyworks Solutions,US
SJM,J.M. Smucker Company (The),US
SW,Smurfit Westrock,US
SNA,Snap-on,US
SOLV,Solventum,US
SO,Southern Company,US
LUV,Southwest Airlines,US
SWK,Stanley Black & Decker,US
SBUX,Starbucks,US
STT,State Street Corporation,US
STLD,Steel Dynamics,US
STE,Steris,US
SYK,Stryker Corporation,US
SMCI,Supermicro,US
SYF,Synchrony Financial,US
SNPS,Synopsys,US
SYY,Sysco,US
TMUS,T-Mobile US,US
TROW,T. Rowe Price,US
TTWO,Take-Two Interactive,US
TPR,"Tapestry, Inc.",US
TRGP,Targa Resources,US
TGT,Target Corporation,US
TEL,TE Connectivity,US
TDY,Teledyne Technologies,US
TER,Teradyne,US
TSLA,"Tesla, Inc.",US
TXN,Texas Instruments,US
TPL,Texas Pacific Land Corporation,US
TXT,Textron,US
TMO,Thermo Fisher Scientific,US
TJX,TJX Companies,US
TKO,TKO Group Holdings,US
TSCO,Tractor Supply,US
TT,Trane Technologies,US
TDG,TransDigm Group,US
TRV,Travelers Companies (The),US
TRMB,Trimble Inc.,US
TFC,Truist Financial,US
TYL,Tyler Technologies,US
TSN,Tyson Foods,US
USB,U.S. Bancorp,US
UBER,Uber,US
UDR,"UDR, Inc.",US
ULTA,Ulta Beauty,US
UNP,Union Pacific Corporation,US
UAL,United Airlines Holdings,US
UPS,United Parcel Service,US
URI,United Rentals,US
UNH,UnitedHealth Group,US
UHS,Universal Health Services,US
VLO,Valero Energy,US
VTR,Ventas,US
VLTO,Veralto,US
VRSN,Verisign,US
VRSK,Verisk Analytics,US
VZ,Verizon,US
VRTX,Vertex Pharmaceuticals,US
VTRS,Viatris,US
VICI,Vici Properties,US
V,Visa Inc.,US
VST,Vistra Corp.,US
VMC,Vulcan Materials Company,US
WRB,W. R. Berkley Corporation,US
GWW,W. W. Grainger,US
WAB,Wabtec,US
WBA,Walgreens Boots Alliance,US
WMT,Walmart,US
DIS,Walt Disney Company (The),US
WBD,Warner Bros. Discovery,US
WM,Waste Management,US
WAT,Waters Corporation,US
WEC,WEC Energy Group,US
WFC,Wells Fargo,US
WELL,Welltower,US
WST,West Pharmaceutical Services,US
WDC,Western Digital,US
WY,Weyerhaeuser,US
WSM,"Williams-Sonoma, Inc.",US
WMB,Williams Companies,US
WTW,Willis Towers Watson,US
WDAY,"Workday, Inc.",US
WYNN,Wynn Resorts,US
XEL,Xcel Energy,US
XYL,Xylem Inc.,US
YUM,Yum! Brands,US
ZBRA,Zebra Technologies,US
ZBH,Zimmer Biomet,US
ZTS,Zoetis,US
ABB.NS,ABB India Ltd.,India
ADANIENSOL.NS,Adani Energy Solutions Ltd.,India
ADANIENT.NS,Adani Enterprises Ltd.,India
ADANIGREEN.NS,Adani Green Energy Ltd.,India
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,India
ADANIPOWER.NS,Adani Power Ltd.,India
AMBUJACEM.NS,Ambuja Cements Ltd.,India
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,India
ASIANPAINT.NS,Asian Paints Ltd.,India
DMART.NS,Avenue Supermarts Ltd.,India
AXISBANK.NS,Axis Bank Ltd.,India
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,India
BAJFINANCE.NS,Bajaj Finance Ltd.,India
BAJAJFINSV.NS,Bajaj Finserv Ltd.,India
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,India
BAJAJHFL.NS,Bajaj Housing Finance Ltd.,India
BANKBARODA.NS,Bank of Baroda,India
BEL.NS,Bharat Electronics Ltd.,India
BPCL.NS,Bharat Petroleum Corporation Ltd.,India
BHARTIARTL.NS,Bharti Airtel Ltd.,India
BOSCHLTD.NS,Bosch Ltd.,India
BRITANNIA.NS,Britannia Industries Ltd.,India
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,India
CANBK.NS,Canara Bank,India
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,India
CIPLA.NS,Cipla Ltd.,India
COALINDIA.NS,Coal India Ltd.,India
DLF.NS,DLF Ltd.,India
DABUR.NS,Dabur India Ltd.,India
DIVISLAB.NS,Divi's Laboratories Ltd.,India
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,India
EICHERMOT.NS,Eicher Motors Ltd.,India
ETERNAL.NS,Eternal Ltd.,India
GAIL.NS,GAIL (India) Ltd.,India
GODREJCP.NS,Godrej Consumer Products Ltd.,India
GRASIM.NS,Grasim Industries Ltd.,India
HCLTECH.NS,HCL Technologies Ltd.,India
HDFCBANK.NS,HDFC Bank Ltd.,India
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,India
HAVELLS.NS,Havells India Ltd.,India
HEROMOTOCO.NS,Hero MotoCorp Ltd.,India
HINDALCO.NS,Hindalco Industries Ltd.,India
HAL.NS,Hindustan Aeronautics Ltd.,India
HINDUNILVR.NS,Hindustan Unilever Ltd.,India
HYUNDAI.NS,Hyundai Motor India Ltd.,India
ICICIBANK.NS,ICICI Bank Ltd.,India
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,India
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,India
ITC.NS,ITC Ltd.,India
INDHOTEL.NS,Indian Hotels Co. Ltd.,India
IOC.NS,Indian Oil Corporation Ltd.,India
IRFC.NS,Indian Railway Finance Corporation Ltd.,India
INDUSINDBK.NS,IndusInd Bank Ltd.,India
NAUKRI.NS,Info Edge (India) Ltd.,India
INFY.NS,Infosys Ltd.,India
INDIGO.NS,InterGlobe Aviation Ltd.,India
JSWENERGY.NS,JSW Energy Ltd.,India
JSWSTEEL.NS,JSW Steel Ltd.,India
JINDALSTEL.NS,Jindal Steel & Power Ltd.,India
JIOFIN.NS,Jio Financial Services Ltd.,India
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,India
LTIM.NS,LTIMindtree Ltd.,India
LT.NS,Larsen & Toubro Ltd.,India
LICI.NS,Life Insurance Corporation of India,India
LODHA.NS,Macrotech Developers Ltd.,India
M&M.NS,Mahindra & Mahindra Ltd.,India
MARUTI.NS,Maruti Suzuki India Ltd.,India
NTPC.NS,NTPC Ltd.,India
NESTLEIND.NS,Nestle India Ltd.,India
ONGC.NS,Oil & Natural Gas Corporation Ltd.,India
PIDILITIND.NS,Pidilite Industries Ltd.,India
PFC.NS,Power Finance Corporation Ltd.,India
POWERGRID.NS,Power Grid Corporation of India Ltd.,India
PNB.NS,Punjab National Bank,India
RECLTD.NS,REC Ltd.,India
RELIANCE.NS,Reliance Industries Ltd.,India
SBILIFE.NS,SBI Life Insurance Company Ltd.,India
MOTHERSON.NS,Samvardhana Motherson International Ltd.,India
SHREECEM.NS,Shree Cement Ltd.,India
SHRIRAMFIN.NS,Shriram Finance Ltd.,India
SIEMENS.NS,Siemens Ltd.,India
SBIN.NS,State Bank of India,India
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,India
SWIGGY.NS,Swiggy Ltd.,India
TVSMOTOR.NS,TVS Motor Company Ltd.,India
TCS.NS,Tata Consultancy Services Ltd.,India
TATACONSUM.NS,Tata Consumer Products Ltd.,India
TATAMOTORS.NS,Tata Motors Ltd.,India
TATAPOWER.NS,Tata Power Co. Ltd.,India
TATASTEEL.NS,Tata Steel Ltd.,India
TECHM.NS,Tech Mahindra Ltd.,India
TITAN.NS,Titan Company Ltd.,India
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,India
TRENT.NS,Trent Ltd.,India
ULTRACEMCO.NS,UltraTech Cement Ltd.,India
UNITDSPR.NS,United Spirits Ltd.,India
VBL.NS,Varun Beverages Ltd.,India
VEDL.NS,Vedanta Ltd.,India
WIPRO.NS,Wipro Ltd.,India
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,India
